SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,hunt_diversity
Mafufuni,0,116.1357127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magogoni,0,3804.330445,,,,,,,,,,,,,,,,,,,,,,,,
Magomeni,0,3181.110111,,,,,,,,,,,,,,,,,,,,,,,,
Mahonda,0,413.6284023,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Majenzi,30,50.7647693,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Makadara,0,5297.529909,,,,,,,,,,,,,,,,,,,,,,,,
Makoba,0,212.6769521,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3
Malindi,0,3696.432361,,,,,,,,,,,,,,,,,,,,,,,,
Mambosasa,0,2670.916623,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mangapwani,80,193.2260577,0,0,0,0,1,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,2,2,6
Mapinduzi,0,4133.468464,,,,,,,,,,,,,,,,,,,,,,,,
Maruhubi,40,2876.426841,,,,,,,,,,,,,,,,,,,,,,,,
Marumbi,60,71.41091774,0,0,0,0,2,3,0,0,0,3,0,2,0,0,0,3,0,3,3,3,0,0,0,8
Marumbi,60,71.41091774,0,0,0,0,2,3,0,0,0,3,0,2,0,0,0,3,0,3,3,3,0,0,0,8
Masingini,80,944.1391885,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,5
Masumbani,0,3930.60186,,,,,,,,,,,,,,,,,,,,,,,,
Matarumbeta,0,3381.617837,,,,,,,,,,,,,,,,,,,,,,,,
MatemweKaskazini,0,139.9566324,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
MatemweKusini,0,72.34982569,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Matetema,0,359.6316207,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3
Maungani,40,750.8121179,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Mbaleni,60,45.12164631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mboriborini,0,5631.781343,,,,,,,,,,,,,,,,,,,,,,,,
Mbuyutende,0,83.06939619,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,3,3,0,0,1,6
Mbuzini,50,873.5078085,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mbweni,40,1661.255019,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Mchangani,50,142.0337598,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
MchanganiMjini,0,4400.164394,,,,,,,,,,,,,,,,,,,,,,,,
Mchezashauri,70,189.9688487,,,,,,,,,,,,,,,,,,,,,,,,
Mchikichini,40,2364.995957,,,,,,,,,,,,,,,,,,,,,,,,
Melinne,,4874.235144,,,,,,,,,,,,,,,,,,,,,,,,
Meya,0,4748.697478,,,,,,,,,,,,,,,,,,,,,,,,
Mfenesini,30,608.0445129,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mgambo,50,61.49658368,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,4
Mgenihaji,90,130.9883332,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mgenihaji,90,130.9883332,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michamvi,70,114.1859376,0,3,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,3,3,3,3,3,0,9
Michamvi,70,114.1859376,0,3,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,3,3,3,3,3,0,9
Michamvi,70,114.1859376,0,3,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,3,3,3,3,3,0,9
Michungwani,0,1709.855404,,,,,,,,,,,,,,,,,,,,,,,,
Miembeni,40,2530.174761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migombani,70,1168.049086,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Mikarafuuni,,3878.538796,,,,,,,,,,,,,,,,,,,,,,,,
Mikunguni,0,4433.80593,,,,,,,,,,,,,,,,,,,,,,,,
Misufini,20,193.5697758,0,0,2,0,1,2,0,0,0,2,1,3,0,0,0,0,3,0,3,3,0,0,0,9
Mitakawani,90,161.3655008,,,,,,,,,,,,,,,,,,,,,,,,
Mitakawani,90,161.3655008,,,,,,,,,,,,,,,,,,,,,,,,
Mitiulaya,0,4659.890031,,,,,,,,,,,,,,,,,,,,,,,,
Miwani,60,88.06938738,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2
Miwani,60,88.06938738,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2
Mkadini,50,733.383109,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mkataleni,0,315.6748137,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Mkele,0,3648.829695,,,,,,,,,,,,,,,,,,,,,,,,
Mkokotoni,60,292.8503862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mkunazini,30,2670.680574,,,,,,,,,,,,,,,,,,,,,,,,
Mkwajuni,50,432.1573071,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mlandege,0,4096.062234,,,,,,,,,,,,,,,,,,,,,,,,
Mnarani,0,3649.758235,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
MnaziMmoja,40,1093.22327,,,,,,,,,,,,,,,,,,,,,,,,
Mnyimbi,0,113.359059,0,0,0,0,2,2,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5
Moga,50,181.3826501,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,3,0,0,3,3,3,0,3,7
Mombasa,0,2976.321809,,,,,,,,,,,,,,,,,,,,,,,,
Mpapa,30,557.1439638,,,,,,,,,,,,,,,,,,,,,,,,
Mpapa,30,557.1439638,,,,,,,,,,,,,,,,,,,,,,,,
Mpendae,0,2433.593198,,,,,,,,,,,,,,,,,,,,,,,,
Mtakuja,80,163.8745025,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3
Mtende,70,20.58320703,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,3,0,0,0,5
Mtende,70,20.58320703,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,3,0,0,0,5
Mtende,70,20.58320703,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,3,0,0,0,5
Mtofaani,60,1941.513794,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mtoni,80,906.4533743,,,,,,,,,,,,,,,,,,,,,,,,
MtoniChemchem,20,2160.666288,,,,,,,,,,,,,,,,,,,,,,,,
MtoniKidatu,0,3070.030534,,,,,,,,,,,,,,,,,,,,,,,,
Mtopepo,0,3164.988871,,,,,,,,,,,,,,,,,,,,,,,,
Mtowapwani,50,116.5452865,2,2,3,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,7
Muembeladu,0,3632.570259,,,,,,,,,,,,,,,,,,,,,,,,
MuembeMadema,50,2385.937798,,,,,,,,,,,,,,,,,,,,,,,,
MuembeMajogoo,,4184.15316,,,,,,,,,,,,,,,,,,,,,,,,
MuembeMchomeke,0,1857.404542,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Muembeshauri,0,4629.952614,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
MuembeTanga,0,4094.056085,,,,,,,,,,,,,,,,,,,,,,,,
Munduli,40,1785.291061,,,,,,,,,,,,,,,,,,,,,,,,
Muungano,0,5531.49793,,,,,,,,,,,,,,,,,,,,,,,,
Muungoni,60,24.69618312,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,5
Muungoni,60,24.69618312,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,5
Muungoni,60,24.69618312,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,5
Muwanda,0,67.23083442,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,3,3,3,0,0,6
Muwange,0,557.9845952,0,1,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,0,0,1,0,8
Muyuni A,50,13.05873045,0,0,0,2,2,3,0,0,0,0,0,3,0,3,3,3,3,3,0,2,2,2,0,12
Muyuni A,50,13.05873045,0,0,0,2,2,3,0,0,0,0,0,3,0,3,3,3,3,3,0,2,2,2,0,12
Muyuni A,50,13.05873045,0,0,0,2,2,3,0,0,0,0,0,3,0,3,3,3,3,3,0,2,2,2,0,12
Muyuni B,60,26.7694534,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,5
Muyuni B,60,26.7694534,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,5
Muyuni B,60,26.7694534,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,5
Muyuni C,60,5.289499373,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,2,0,2,0,2,2,0,0,7
Muyuni C,60,5.289499373,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,2,0,2,0,2,2,0,0,7
Muyuni C,60,5.289499373,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,2,0,2,0,2,2,0,0,7
Mwakaje,60,152.9733684,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Mwanakwerekwe,,4071.590615,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mwanyanya,40,2358.362277,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
MwembeMakumbi,0,4020.580107,,,,,,,,,,,,,,,,,,,,,,,,
Mwera,60,866.299546,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3
Mzuri,50,169.0618479,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,2,1,0,6
Mzuri,50,169.0618479,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,2,1,0,6
Mzuri,50,169.0618479,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,2,1,0,6
NdijaniMseweni,60,81.48405535,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
NdijaniMseweni,60,81.48405535,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Ndijanimwembepunda,80,88.63387517,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Ndijanimwembepunda,80,88.63387517,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Ng'ambwa,0,19.07252212,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,3
Ng'ambwa,0,19.07252212,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,3
Nganani,50,157.4451691,0,0,0,3,3,0,0,0,3,0,0,3,1,1,1,1,1,3,3,3,1,3,0,14
Nganani,50,157.4451691,0,0,0,3,3,0,0,0,3,0,0,3,1,1,1,1,1,3,3,3,1,3,0,14
Nganani,50,157.4451691,0,0,0,3,3,0,0,0,3,0,0,3,1,1,1,1,1,3,3,3,1,3,0,14
Njiayamtoni,20,56.5450152,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Nyamanzi,50,444.5610083,0,0,0,0,0,0,0,3,3,0,0,3,2,2,2,0,0,0,3,3,0,0,0,8
Nyerere,0,4440.942691,,,,,,,,,,,,,,,,,,,,,,,,
Nyuragusu,,3618.499756,,,,,,,,,,,,,,,,,,,,,,,,
Pagali,20,26.17126978,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3
Pagali,20,26.17126978,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3
Paje,60,79.47585517,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,2,1,2,3,3,0,0,0,8
Paje,60,79.47585517,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,2,1,2,3,3,0,0,0,8
Paje,60,79.47585517,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,2,1,2,3,3,0,0,0,8
Pale,60,57.43198037,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Pangawe,,4024.080114,,,,,,,,,,,,,,,,,,,,,,,,
Pangeni,0,42.01129142,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Pete,80,22.16302046,1,0,0,2,3,3,0,0,2,0,2,3,0,0,0,3,2,2,3,3,0,0,2,13
Pete,80,22.16302046,1,0,0,2,3,3,0,0,2,0,2,3,0,0,0,3,2,2,3,3,0,0,2,13
Pitanazako,80,693.9567908,0,0,0,0,1,0,0,2,2,0,0,2,0,2,0,3,3,0,0,0,0,2,1,9
Pongwe,90,45.79207389,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,3,3,0,0,0,6
Pongwe,90,45.79207389,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,3,3,0,0,0,6
Potoa,0,182.4176145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
PwaniMchangani,40,278.3115804,0,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
Rahaleo,0,3132.487118,,,,,,,,,,,,,,,,,,,,,,,,
Saateni,0,4355.409218,,,,,,,,,,,,,,,,,,,,,,,,
Sebleni,0,4624.387918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakani,40,469.7689272,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,4
Shangani,0,3156.896801,,,,,,,,,,,,,,,,,,,,,,,,
SharifuMsa,70,2076.674264,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Shaurimoyo,0,5194.399298,,,,,,,,,,,,,,,,,,,,,,,,
Sogea,0,4246.404046,,,,,,,,,,,,,,,,,,,,,,,,
Sokoni,60,3645.114727,,,,,,,,,,,,,,,,,,,,,,,,
Tasani,50,79.29978038,0,0,0,0,2,0,0,0,1,0,0,3,1,1,0,0,0,0,2,0,0,0,0,6
Tasani,50,79.29978038,0,0,0,0,2,0,0,0,1,0,0,3,1,1,0,0,0,0,2,0,0,0,0,6
Tasani,50,79.29978038,0,0,0,0,2,0,0,0,1,0,0,3,1,1,0,0,0,0,2,0,0,0,0,6
Taveta,,4406.910586,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Tazari,0,169.2419983,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4
Tindini,60,82.31279887,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,6
Tindini,60,82.31279887,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,6
Tomondo,0,2466.617506,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tunduni,80,118.7639483,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Tunduni,80,118.7639483,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Tunguu,50,222.3850249,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,5
Tunguu,50,222.3850249,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,5
Ubago,70,120.6764122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubago,70,120.6764122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uholanzi,0,2642.67356,,,,,,,,,,,,,,,,,,,,,,,,
Ukongoroni,90,5.682783989,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4
Ukongoroni,90,5.682783989,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4
Umbuji,40,21.44466739,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Umbuji,40,21.44466739,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
UngujaukuuKaebona,50,39.40482972,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,1,2,2,2,0,0,7
UngujaukuuKaebona,50,39.40482972,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,1,2,2,2,0,0,7
Ungujaukuukaepwani,80,136.1930581,3,0,0,0,3,0,0,3,3,0,2,3,3,3,3,0,3,0,0,3,0,3,3,13
Ungujaukuukaepwani,80,136.1930581,3,0,0,0,3,0,0,3,3,0,2,3,3,3,3,0,3,0,0,3,0,3,3,13
Upenja,0,37.10158406,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Uroa,70,123.625657,0,0,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,3,2,0,0,0,8
Uroa,70,123.625657,0,0,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,3,2,0,0,0,8
Urusi,0,5731.004149,,,,,,,,,,,,,,,,,,,,,,,,
Uvivini,80,160.6650766,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4
Uwandani,0,431.8534678,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Uzi,0,3745.781294,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,3
Uzi,60,225.462272,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,3
Uzi,60,225.462272,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,3
Uzini,100,144.7384008,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Uzini,100,144.7384008,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Vikokotoni,0,4749.948571,,,,,,,,,,,,,,,,,,,,,,,,
Welezo,40,1834.404814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zingwezingwe,0,33.26880105,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2
